分类: 💰央视付费频道, 名称: 风云音乐, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 26 ms, 最高速率: 29.95 M/s, 平均速率: 15.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云剧场, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 25 ms, 最高速率: 16.59 M/s, 平均速率: 7.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 第一剧场, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 71 ms, 最高速率: 10.06 M/s, 平均速率: 5.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 怀旧剧场, 有效: 6, IPv4: 13, IPv6: 0, 最小延迟: 56 ms, 最高速率: 17.64 M/s, 平均速率: 7.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费频道, 名称: 女性时尚, 有效: 4, IPv4: 17, IPv6: 0, 最小延迟: 27 ms, 最高速率: 18.52 M/s, 平均速率: 9.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 4, IPv4: 12, IPv6: 0, 最小延迟: 194 ms, 最高速率: 9.99 M/s, 平均速率: 3.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 风云足球, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 41 ms, 最高速率: 12.66 M/s, 平均速率: 4.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 电视指南, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 6, IPv4: 16, IPv6: 0, 最小延迟: 34 ms, 最高速率: 93.53 M/s, 平均速率: 20.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费频道, 名称: 世界地理, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 32 ms, 最高速率: 14.23 M/s, 平均速率: 6.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
